,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
39,40.0,0.0,20.0,37.0,75.0,Cluster 2
40,41.0,0.0,65.0,38.0,35.0,Cluster 2
41,42.0,1.0,24.0,38.0,92.0,Cluster 2
42,43.0,1.0,48.0,39.0,36.0,Cluster 2
43,44.0,0.0,31.0,39.0,61.0,Cluster 2
44,45.0,0.0,49.0,39.0,28.0,Cluster 2
45,46.0,0.0,24.0,39.0,65.0,Cluster 2
46,47.0,0.0,50.0,40.0,55.0,Cluster 2
47,48.0,0.0,27.0,40.0,47.0,Cluster 2
48,49.0,0.0,29.0,40.0,42.0,Cluster 2
49,50.0,0.0,31.0,40.0,42.0,Cluster 2
50,51.0,0.0,49.0,42.0,52.0,Cluster 2
51,52.0,1.0,33.0,42.0,60.0,Cluster 2
52,53.0,0.0,31.0,43.0,54.0,Cluster 2
53,54.0,1.0,59.0,43.0,60.0,Cluster 2
54,55.0,0.0,50.0,43.0,45.0,Cluster 2
55,56.0,1.0,47.0,43.0,41.0,Cluster 2
56,57.0,0.0,51.0,44.0,50.0,Cluster 2
57,58.0,1.0,69.0,44.0,46.0,Cluster 0
58,59.0,0.0,27.0,46.0,51.0,Cluster 2
59,60.0,1.0,53.0,46.0,46.0,Cluster 0
60,61.0,1.0,70.0,46.0,56.0,Cluster 0
61,62.0,1.0,19.0,46.0,55.0,Cluster 2
62,63.0,0.0,67.0,47.0,52.0,Cluster 0
63,64.0,0.0,54.0,47.0,59.0,Cluster 0
64,65.0,1.0,63.0,48.0,51.0,Cluster 0
65,66.0,1.0,18.0,48.0,59.0,Cluster 0
66,67.0,0.0,43.0,48.0,50.0,Cluster 0
67,68.0,0.0,68.0,48.0,48.0,Cluster 0
68,69.0,1.0,19.0,48.0,59.0,Cluster 0
69,70.0,0.0,32.0,48.0,47.0,Cluster 0
70,71.0,1.0,70.0,49.0,55.0,Cluster 0
71,72.0,0.0,47.0,49.0,42.0,Cluster 0
72,73.0,0.0,60.0,50.0,49.0,Cluster 0
73,74.0,0.0,60.0,50.0,56.0,Cluster 0
74,75.0,1.0,59.0,54.0,47.0,Cluster 0
75,76.0,1.0,26.0,54.0,54.0,Cluster 0
76,77.0,0.0,45.0,54.0,53.0,Cluster 0
77,78.0,1.0,40.0,54.0,48.0,Cluster 0
78,79.0,0.0,23.0,54.0,52.0,Cluster 0
79,80.0,0.0,49.0,54.0,42.0,Cluster 0
80,81.0,1.0,57.0,54.0,51.0,Cluster 0
81,82.0,1.0,38.0,54.0,55.0,Cluster 0
82,83.0,1.0,67.0,54.0,41.0,Cluster 0
83,84.0,0.0,46.0,54.0,44.0,Cluster 0
84,85.0,0.0,21.0,54.0,57.0,Cluster 0
85,86.0,1.0,48.0,54.0,46.0,Cluster 0
86,87.0,0.0,55.0,57.0,58.0,Cluster 0
87,88.0,0.0,22.0,57.0,55.0,Cluster 0
88,89.0,0.0,34.0,58.0,60.0,Cluster 0
89,90.0,0.0,50.0,58.0,46.0,Cluster 0
90,91.0,0.0,68.0,59.0,55.0,Cluster 0
91,92.0,1.0,18.0,59.0,41.0,Cluster 0
92,93.0,1.0,48.0,60.0,49.0,Cluster 0
93,94.0,0.0,40.0,60.0,40.0,Cluster 0
94,95.0,0.0,32.0,60.0,42.0,Cluster 0
95,96.0,1.0,24.0,60.0,52.0,Cluster 0
96,97.0,0.0,47.0,60.0,47.0,Cluster 0
97,98.0,0.0,27.0,60.0,50.0,Cluster 0
98,99.0,1.0,48.0,61.0,42.0,Cluster 0
99,100.0,1.0,20.0,61.0,49.0,Cluster 0
100,101.0,0.0,23.0,62.0,41.0,Cluster 0
101,102.0,0.0,49.0,62.0,48.0,Cluster 0
102,103.0,1.0,67.0,62.0,59.0,Cluster 0
103,104.0,1.0,26.0,62.0,55.0,Cluster 0
104,105.0,1.0,49.0,62.0,56.0,Cluster 0
105,106.0,0.0,21.0,62.0,42.0,Cluster 0
106,107.0,0.0,66.0,63.0,50.0,Cluster 0
107,108.0,1.0,54.0,63.0,46.0,Cluster 0
108,109.0,1.0,68.0,63.0,43.0,Cluster 0
109,110.0,1.0,66.0,63.0,48.0,Cluster 0
110,111.0,1.0,65.0,63.0,52.0,Cluster 0
111,112.0,0.0,19.0,63.0,54.0,Cluster 0
112,113.0,0.0,38.0,64.0,42.0,Cluster 0
113,114.0,1.0,19.0,64.0,46.0,Cluster 0
114,115.0,0.0,18.0,65.0,48.0,Cluster 0
115,116.0,0.0,19.0,65.0,50.0,Cluster 0
116,117.0,0.0,63.0,65.0,43.0,Cluster 0
117,118.0,0.0,49.0,65.0,59.0,Cluster 0
118,119.0,0.0,51.0,67.0,43.0,Cluster 0
119,120.0,0.0,50.0,67.0,57.0,Cluster 0
120,121.0,1.0,27.0,67.0,56.0,Cluster 0
121,122.0,0.0,38.0,67.0,40.0,Cluster 0
122,123.0,0.0,40.0,69.0,58.0,Cluster 0
123,124.0,1.0,39.0,69.0,91.0,Cluster 3
124,125.0,0.0,23.0,70.0,29.0,Cluster 0
125,126.0,0.0,31.0,70.0,77.0,Cluster 3
126,127.0,1.0,43.0,71.0,35.0,Cluster 0
127,128.0,1.0,40.0,71.0,95.0,Cluster 3
128,129.0,1.0,59.0,71.0,11.0,Cluster 1
129,130.0,1.0,38.0,71.0,75.0,Cluster 3
130,131.0,1.0,47.0,71.0,9.0,Cluster 1
131,132.0,1.0,39.0,71.0,75.0,Cluster 3
132,133.0,0.0,25.0,72.0,34.0,Cluster 1
133,134.0,0.0,31.0,72.0,71.0,Cluster 3
134,135.0,1.0,20.0,73.0,5.0,Cluster 1
135,136.0,0.0,29.0,73.0,88.0,Cluster 3
136,137.0,0.0,44.0,73.0,7.0,Cluster 1
137,138.0,1.0,32.0,73.0,73.0,Cluster 3
138,139.0,1.0,19.0,74.0,10.0,Cluster 1
139,140.0,0.0,35.0,74.0,72.0,Cluster 3
140,141.0,0.0,57.0,75.0,5.0,Cluster 1
141,142.0,1.0,32.0,75.0,93.0,Cluster 3
142,143.0,0.0,28.0,76.0,40.0,Cluster 1
143,144.0,0.0,32.0,76.0,87.0,Cluster 3
144,145.0,1.0,25.0,77.0,12.0,Cluster 1
145,146.0,1.0,28.0,77.0,97.0,Cluster 3
146,147.0,1.0,48.0,77.0,36.0,Cluster 1
147,148.0,0.0,32.0,77.0,74.0,Cluster 3
148,149.0,0.0,34.0,78.0,22.0,Cluster 1
149,150.0,1.0,34.0,78.0,90.0,Cluster 3
150,151.0,1.0,43.0,78.0,17.0,Cluster 1
151,152.0,1.0,39.0,78.0,88.0,Cluster 3
152,153.0,0.0,44.0,78.0,20.0,Cluster 1
153,154.0,0.0,38.0,78.0,76.0,Cluster 3
154,155.0,0.0,47.0,78.0,16.0,Cluster 1
155,156.0,0.0,27.0,78.0,89.0,Cluster 3
156,157.0,1.0,37.0,78.0,1.0,Cluster 1
157,158.0,0.0,30.0,78.0,78.0,Cluster 3
158,159.0,1.0,34.0,78.0,1.0,Cluster 1
159,160.0,0.0,30.0,78.0,73.0,Cluster 3
160,161.0,0.0,56.0,79.0,35.0,Cluster 1
161,162.0,0.0,29.0,79.0,83.0,Cluster 3
162,163.0,1.0,19.0,81.0,5.0,Cluster 1
163,164.0,0.0,31.0,81.0,93.0,Cluster 3
164,165.0,1.0,50.0,85.0,26.0,Cluster 1
165,166.0,0.0,36.0,85.0,75.0,Cluster 3
166,167.0,1.0,42.0,86.0,20.0,Cluster 1
167,168.0,0.0,33.0,86.0,95.0,Cluster 3
168,169.0,0.0,36.0,87.0,27.0,Cluster 1
169,170.0,1.0,32.0,87.0,63.0,Cluster 3
170,171.0,1.0,40.0,87.0,13.0,Cluster 1
171,172.0,1.0,28.0,87.0,75.0,Cluster 3
172,173.0,1.0,36.0,87.0,10.0,Cluster 1
173,174.0,1.0,36.0,87.0,92.0,Cluster 3
174,175.0,0.0,52.0,88.0,13.0,Cluster 1
175,176.0,0.0,30.0,88.0,86.0,Cluster 3
176,177.0,1.0,58.0,88.0,15.0,Cluster 1
177,178.0,1.0,27.0,88.0,69.0,Cluster 3
178,179.0,1.0,59.0,93.0,14.0,Cluster 1
179,180.0,1.0,35.0,93.0,90.0,Cluster 3
180,181.0,0.0,37.0,97.0,32.0,Cluster 1
181,182.0,0.0,32.0,97.0,86.0,Cluster 3
182,183.0,1.0,46.0,98.0,15.0,Cluster 1
183,184.0,0.0,29.0,98.0,88.0,Cluster 3
184,185.0,0.0,41.0,99.0,39.0,Cluster 1
185,186.0,1.0,30.0,99.0,97.0,Cluster 3
186,187.0,0.0,54.0,101.0,24.0,Cluster 1
187,188.0,1.0,28.0,101.0,68.0,Cluster 3
188,189.0,0.0,41.0,103.0,17.0,Cluster 1
189,190.0,0.0,36.0,103.0,85.0,Cluster 3
190,191.0,0.0,34.0,103.0,23.0,Cluster 1
191,192.0,0.0,32.0,103.0,69.0,Cluster 3
192,193.0,1.0,33.0,113.0,8.0,Cluster 1
193,194.0,0.0,38.0,113.0,91.0,Cluster 3
194,195.0,0.0,47.0,120.0,16.0,Cluster 1
195,196.0,0.0,35.0,120.0,79.0,Cluster 3
196,197.0,0.0,45.0,126.0,28.0,Cluster 1
197,198.0,1.0,32.0,126.0,74.0,Cluster 3
198,199.0,1.0,32.0,137.0,18.0,Cluster 1
199,200.0,1.0,30.0,137.0,83.0,Cluster 3
